"division","gender","belt","weight","rank","Name","Team","Grand.Slam.Pts","Overall.PTS","Adult.World.Champ.","M1.World.Champ.","M2.World.Champ.","M3.World.Champ.","M4.World.Champ.","M5.World.Champ.","M6.World.Champ.","M7.World.Champ.","Grand.Slam.Open.Class.PTS","Overall.Open.Class.PTS","Overall.PTS..without.Open.Class."
"Master 7","Male","BLUE","Heavy",2,"Peter Michael Iturraran","Stockton Jiu-Jitsu Academy",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Male","BLUE","Heavy",3,"Mark Jerome Allenson","Prodigy Martial Arts",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Male","BLUE","Heavy",4,"Lee Roy Clark","Renato Tavares Association",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Male","BLUE","Heavy",5,"Jairo Sukster","Gracie Barra",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Male","BLUE","Heavy",6,"Donald John Fraser","Open Mat Mixed Martial Arts",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Male","PURPLE","Heavy",1,"Gary Tucker Foster","Alliance",220,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Male","PURPLE","Heavy",2,"Ray Rutledge Fulp lll","Rodrigo Pinheiro BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Male","BROWN","Heavy",1,"Helcio Augusto Cesar Pinheiro","Carlson Gracie Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Male","BROWN","Heavy",2,"Francisco Soto Jr","Double Five",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Male","BLACK","Heavy",1,"Brian Carl Germain","Fabio Novaes BJJ",801,801,"No","No","No","No","No","No","No","No",NA,NA,NA
"Master 7","Male","BLACK","Heavy",2,"Helvecio Augusto Moreira Penna Neto","Carlson Gracie Team",43,12,"No","No","No","No","No","No","No","No",NA,NA,NA
"Master 7","Male","BLACK","Heavy",3,"Terry Slutsky","Gracie Barra",0,108,"No","No","No","No","No","No","No","No",NA,NA,NA
"Master 7","Male","BLACK","Heavy",4,"Thomas Gerald Haselton","Gracie Humaita",0,0,"No","No","No","No","No","No","No","No",NA,NA,NA
"Master 7","Male","BLACK","Heavy",5,"Gregory Anthony Lopez","Campeon BJJ",0,0,"No","No","No","No","No","No","No","No",NA,NA,NA
"Master 7","Male","BLACK","Heavy",6,"David Frech","Brazil Academy USA",0,0,"No","No","No","No","No","No","No","No",NA,NA,NA
"Master 7","Male","BLUE","Super Heavy",1,"Charles King Bibby Jr ","Rodrigo Vaghi BJJ",189,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Male","BLUE","Super Heavy",2,"Richard Joseph O Meara","Embrace Martial Arts",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Male","BLUE","Super Heavy",3,"Garry Logan Evans","American Top Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Male","PURPLE","Super Heavy",1,"Dean M Brewer","Team Capo Brazilian Jiu-Jitsu",10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Male","PURPLE","Super Heavy",2,"Ronald Kurtis Wilson","Renato Tavares Association",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Male","PURPLE","Super Heavy",3,"Robert J Chuisano","Vamos Brazilian Jiu Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Male","PURPLE","Super Heavy",4,"Kamal Berrada","Rev MMA Toronto",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Male","PURPLE","Super Heavy",5,"Alan Drew Cornfield","Mike Moses' Competition Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Male","BLACK","Super Heavy",1,"Nicholas DelTufo","Jiu-Jitsu For The People - Sheridan BJJ",67,67,"No","No","No","No","No","No","No","No",NA,NA,NA
"Master 7","Male","BLACK","Super Heavy",2,"Gay Elgin Cobham","De La Riva International",0,67,"No","No","No","No","No","No","No","No",NA,NA,NA
"Master 7","Male","BLACK","Super Heavy",3,"Dennis J Melone","Rising Sun BJJ",0,0,"No","No","No","No","No","No","No","No",NA,NA,NA
"Master 7","Male","BLACK","Super Heavy",4,"Celso Koetz Junior","Magoo JJ",0,0,"No","No","No","No","No","No","No","No",NA,NA,NA
"Master 7","Male","BLUE","Ultra Heavy",1,"Glen Herbert Ashlock","Detroit Jiu-Jitsu Syndicate",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Male","PURPLE","Ultra Heavy",1,"William Robert Lawless","Six Blades Jiu-Jitsu",126,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Male","PURPLE","Ultra Heavy",2,"Steven Raul Tarango","Brea Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Male","PURPLE","Ultra Heavy",3,"Edward Fong Won","Sabre Jiu-Jitsu Academy",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Male","PURPLE","Ultra Heavy",4,"David Barrett Cohen","Alexandre Novaes Jiu-Jitsu Academy",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Male","BROWN","Ultra Heavy",1,"David Eugene Brown","Ground Dwellers",634,723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Male","BROWN","Ultra Heavy",2,"Gabriel John Austin","MyBJJ Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Male","BLACK","Ultra Heavy",1,"Jay Hunsucker","The Jiu-Jitsu Academy",63,63,"No","No","No","No","No","No","No","No",NA,NA,NA
"Master 7","Male","BLACK","Ultra Heavy",2,"Philip G Rinaldi","American Top Team",0,0,"No","No","No","No","No","No","No","No",NA,NA,NA
"Master 7","Female","BLUE","Light Feather",1,"Janet Catherine Ballard","Nova União",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Female","BROWN","Feather",1,"Patricia Ann Smith","Caique Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Female","BROWN","Feather",2,"Lori Michelle Rush","AEG",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Female","PURPLE","Light",1,"Susan Ellen Burger","Nova União",315,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Female","PURPLE","Light",2,"Melody Fortunato","Tribal Gym",171,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Female","PURPLE","Middle",1,"Henrietta Comeau","TRUJITSU",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Female","PURPLE","Middle",2,"Cynthia M G Geery","Gracie Barra",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Female","BLUE","Heavy",1,"Sheri Robin","Gracie Barra",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Female","BLUE","Heavy",2,"Béryl Lydia Tohotua Chave","Six Blades Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 7","Female","BLACK","Heavy",1,"Betty W Broadhurst","Ares BJJ",0,135,"No","No","No","No","No","No","No","No",NA,NA,NA
"Master 7","Female","PURPLE","Super Heavy",1,"Kathy Adair Butler","Brasa CTA",63,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Open Class",1,"Shane Sweeney","Pedigo Submission Fighting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,108,144
"Master 1","Male","BLUE","Open Class",2,"Rodrigo Rodrigues Rondelli","Fabin Rosa Brazilian Jiu-Jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,31,360
"Master 1","Male","BLUE","Open Class",3,"Arash Romeo V Soofiani","Six Blades Jiu-Jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13,162
"Master 1","Male","BLUE","Open Class",4,"Abner Jahdiel Roman","Roberto Traven BJJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,72,165
"Master 1","Male","BLUE","Open Class",5,"Matthew Richard Cole","Alliance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,63
"Master 1","Male","BLUE","Open Class",6,"Zulkainar Shaibek Uulu","CheckMat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,126
"Master 1","Male","BLUE","Open Class",7,"Michael Anthony Tai","Unity Jiu-jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,21
"Master 1","Male","BLUE","Open Class",8,"Blayne Thomas S B McDonald","Carlson Gracie Team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,54,30
"Master 1","Male","BLUE","Open Class",9,"Thomas Glen Hubbard","Atos Jiu-Jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,27
"Master 1","Male","BLUE","Open Class",10,"Conrod Karl Jackson","Toronto Top Team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13,27
"Master 1","Male","BLUE","Open Class",11,"Alexander Vu Dao","Unity Jiu-jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10
"Master 1","Male","BLUE","Open Class",12,"Kevyn Corbin Meredith","CheckMat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Master 1","Male","PURPLE","Open Class",1,"Codye Ryan Landry","Double Five",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,154
"Master 1","Male","PURPLE","Open Class",2,"Kyle Garrett Jackson","Outsiders Jiu-Jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,141
"Master 1","Male","PURPLE","Open Class",3,"Brian William Evans","TDBJJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18,111
"Master 1","Male","PURPLE","Open Class",4,"Julian Malcolm McDuffie","Renzo Gracie LA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,120
"Master 1","Male","PURPLE","Open Class",5,"Jorge Antonio Galvan","Flux MMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3
"Master 1","Male","PURPLE","Open Class",6,"Marcelo Garcia Contini","Ryan Gracie Team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Master 1","Male","PURPLE","Open Class",7,"Jorge Moreno Olivas","Renzo Gracie Mexico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Master 1","Male","PURPLE","Open Class",8,"John Karl Eugene Reed","Alliance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Master 1","Male","PURPLE","Open Class",9,"Guillaume Prada","Barbosa Jiu-Jitsu Paris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Master 1","Male","BROWN","Open Class",1,"Tristan Parker","Alliance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,445,517,369
"Master 1","Male","BROWN","Open Class",2,"Javier Zaruski Saul","Atos Jiu-Jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,61,218
"Master 1","Male","BROWN","Open Class",3,"David Ray Cox","Massachusetts Brazilian Jiu Jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,20
"Master 1","Male","BROWN","Open Class",4,"Richard L Timney","Ares BJJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,11
"Master 1","Male","BROWN","Open Class",5,"Darren D Kriener","TAC Team BJJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,9
"Master 1","Male","BROWN","Open Class",6,"Shawn Ryan Gantz","Rodrigo Pinheiro BJJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Master 1","Male","BROWN","Open Class",7,"Devon Rodney Frank Tordoff","Carlson Gracie Team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Master 1","Male","BLACK","Open Class",1,"Sergio Raimundo Rios da Silva","Brasa",486,741,"No","No",NA,NA,NA,NA,NA,NA,372,444,NA
"Master 1","Male","BLACK","Open Class",2,"Frederico Pinto Cesar de Almeida","Otávio de Almeida",63,273,"No","No",NA,NA,NA,NA,NA,NA,70,190,NA
"Master 1","Male","BLACK","Open Class",3,"Ricardo Ferreira Evangelista","GF Team",126,174,"No","No",NA,NA,NA,NA,NA,NA,21,88,NA
"Master 1","Male","BLACK","Open Class",4,"Gabriel Procópio da Fonseca","Brazilian Top Team",95,229,"No","No",NA,NA,NA,NA,NA,NA,12,112,NA
"Master 1","Male","BLACK","Open Class",5,"Marcus Vinicius Gabriel Oliveira","Gracie Barra",72,279,"No","No",NA,NA,NA,NA,NA,NA,0,31,NA
"Master 1","Male","BLACK","Open Class",6,"Fausto Nahuel Godoy","Cicero Costha Internacional",36,42,"No","No",NA,NA,NA,NA,NA,NA,0,40,NA
"Master 1","Male","BLACK","Open Class",7,"Jhonny Loureiro Sigallis Souza","Alliance",0,217,"No","No",NA,NA,NA,NA,NA,NA,0,148,NA
"Master 1","Male","BLACK","Open Class",8,"Joshua Michael Murdock","Pedigo Submission Fighting",0,33,"No","No",NA,NA,NA,NA,NA,NA,0,6,NA
"Master 1","Male","BLACK","Open Class",9,"Jared Lynn Dopp","Alliance",0,1,"No","No",NA,NA,NA,NA,NA,NA,0,0,NA
"Master 2","Male","BLUE","Open Class",1,"Michael Martin Salgado","Gracie Barra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,214,132
"Master 2","Male","BLUE","Open Class",2,"Christopher Bradley Brewer","Renato Tavares Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,58,53
"Master 2","Male","BLUE","Open Class",3,"Luke F Backes","Renzo Gracie Houston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22,222
"Master 2","Male","BLUE","Open Class",4,"Shane Charles Bridges","One Jiu-Jitsu USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,42
"Master 2","Male","BLUE","Open Class",5,"Michael Jon Smith","Gillette Jiu-Jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,90,57
"Master 2","Male","BLUE","Open Class",6,"Matthew Alan Rothstein","Garth Taylor Jiu-Jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,27
"Master 2","Male","BLUE","Open Class",7,"Fabian A McNally","Unity Jiu-jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3
"Master 2","Male","BLUE","Open Class",8,"Jeremiah Maxwell Cann","Excellence School of Jiu-Jitsu USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Master 2","Male","BLUE","Open Class",9,"Dillan Ruhel Langellier","Maracaba BJJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Master 2","Male","PURPLE","Open Class",1,"Matthew Paul Philibeck","Smartjits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,216
"Master 2","Male","PURPLE","Open Class",2,"Nathan Daniel Rauschert","Brasa CTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,30
"Master 2","Male","PURPLE","Open Class",3,"Jacob Samuel Liebman","Brazilian Top Team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,21
"Master 2","Male","PURPLE","Open Class",4,"Kenneth Levi Kempton","Daimyo Brazilian Jiu-Jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,324,216
"Master 2","Male","PURPLE","Open Class",5,"Joseph Sante Amoroso","Bruno Lima Brazilian Jiu-Jitsu Academy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,27
"Master 2","Male","PURPLE","Open Class",6,"Leon Davis","RCJ Machado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13,3
"Master 2","Male","PURPLE","Open Class",7,"Kevin Matthew De Vries","Pedigo Submission Fighting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,62
"Master 2","Male","PURPLE","Open Class",8,"Trystyn K Schleicher","Gracie Barra JJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Master 2","Male","BROWN","Open Class",1,"Juliano Nunes Lesama","Atos Jiu-Jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,108
"Master 2","Male","BROWN","Open Class",2,"Jarbem Ferreira Pacheco","Cicero Costha Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,108
"Master 2","Male","BROWN","Open Class",3,"Waiokeolaokalani Potts","CheckMat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,167
"Master 2","Male","BROWN","Open Class",4,"Brandon Paul Gagnon","Team James Clingerman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,27
"Master 2","Male","BROWN","Open Class",5,"Beau Jacob Koenig","BJJ Revolution Team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13,27
"Master 2","Male","BROWN","Open Class",6,"Thomas Montgomery Ortega Stern","Ralph Gracie Jiu-Jitsu Berkeley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Master 2","Male","BROWN","Open Class",7,"Terrance Cordell Souser","CheckMat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Master 2","Male","BROWN","Open Class",8,"Roberto Robelin Salinas","Team LDMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Master 2","Male","BROWN","Open Class",9,"Matthew Troy Pehrson","Gracie Humaita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Master 2","Male","BROWN","Open Class",10,"Louis Steven Accaria","Alliance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Master 2","Male","BLACK","Open Class",1,"Piter Frank Almeida Silva","Alliance",282,452,"No","No","No",NA,NA,NA,NA,NA,418,558,NA
"Master 2","Male","BLACK","Open Class",2,"Thiago Reinaldo de Souza","Gracie Barra",69,522,"No","No","No",NA,NA,NA,NA,NA,18,279,NA
"Master 2","Male","BLACK","Open Class",3,"Fábio de Assunção Pulita","Alliance",108,216,"No","No","No",NA,NA,NA,NA,NA,0,0,NA
"Master 2","Male","BLACK","Open Class",4,"Erick Vinicius Raposo","CheckMat",93,412,"No","No","No",NA,NA,NA,NA,NA,0,183,NA
"Master 2","Male","BLACK","Open Class",5,"Vicente Gomes C N Cavalcanti","Southside Brazilian Jiu-Jitsu",84,86,"No","No","No",NA,NA,NA,NA,NA,0,0,NA
"Master 2","Male","BLACK","Open Class",6,"Ricardo Sampaio Ribeiro","De La Riva International",65,74,"No","No","No",NA,NA,NA,NA,NA,0,4,NA
"Master 2","Male","BLACK","Open Class",7,"Rafael Natal Diniz Franca","Gracie Barra",41,85,"No","No","No",NA,NA,NA,NA,NA,0,6,NA
"Master 2","Male","BLACK","Open Class",8,"Diego da Silveira Herzog","Diego Herzog BJJ",0,120,"No","No","No",NA,NA,NA,NA,NA,0,13,NA
"Master 3","Male","BLUE","Open Class",1,"Michal Vebr","Silver Fox BJJ International",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,255
"Master 3","Male","BLUE","Open Class",2,"Rafael Verga","Fabin Rosa Brazilian Jiu-Jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,94,200
"Master 3","Male","BLUE","Open Class",3,"Zacharia Fadika","Brasa CTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,318
"Master 3","Male","BLUE","Open Class",4,"Clinton Lee Peters","Alliance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,168
"Master 3","Male","BLUE","Open Class",5,"William James Baxter","TDBJJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,102
"Master 3","Male","BLUE","Open Class",6,"Antonio Augusto Camargo Pagioro","G13 BJJ USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57,50
"Master 3","Male","BLUE","Open Class",7,"Roy Fredrick Holland","Upper Valley Brazilian Jiu Jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,12
"Master 3","Male","BLUE","Open Class",8,"Mario Mercado","Renzo Gracie Academy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,81,54
"Master 3","Male","BLUE","Open Class",9,"Vincent Lee Harris","316 BJJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,27
"Master 3","Male","BLUE","Open Class",10,"Shannon Thomas Fagan","Team Royce Gracie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Master 3","Male","BLUE","Open Class",11,"Agnaldo Luiz Silva da Silva","Felipe Carvalho Team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Master 3","Male","PURPLE","Open Class",1,"Jeremy Brick","Renato Tavares Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553,958,585
"Master 3","Male","PURPLE","Open Class",2,"Igor de Almeida Leoni","Fabin Rosa Brazilian Jiu-Jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,327,214
"Master 3","Male","PURPLE","Open Class",3,"Jeremiah S Johnson","Kron Gracie Jiu Jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,99,381
"Master 3","Male","PURPLE","Open Class",4,"Jason Vincent Valdez","Outsiders Jiu-Jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,124,144
"Master 3","Male","PURPLE","Open Class",5,"Fábio Abi Saber de Oliveira","Gracie Barra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,81,183
"Master 3","Male","PURPLE","Open Class",6,"Brandon Dewayne Lee Cash","R1NG BJJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,81,54
"Master 3","Male","PURPLE","Open Class",7,"Frank V Orr","Waza Brazilian Jiu Jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,27
"Master 3","Male","PURPLE","Open Class",8,"Tyler S Zimmerman","Alliance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18,45
"Master 3","Male","PURPLE","Open Class",9,"Miguel Angel W Gonzalez Maldonado","Nova União",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,108
"Master 3","Male","PURPLE","Open Class",10,"Travis Wayne Bill","Schell Shock BJJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,27
"Master 3","Male","PURPLE","Open Class",11,"Shuhei Akeo","Carpe Diem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Master 3","Male","PURPLE","Open Class",12,"Josue Lopez","1802 Jiu-Jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Master 3","Male","PURPLE","Open Class",13,"Gabriel M Matt","Logic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Master 3","Male","BROWN","Open Class",1,"Kristopher George Blair","Brasa CTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,216
"Master 3","Male","BROWN","Open Class",2,"Jorge Luis Cabrera","American Top Team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,126
"Master 3","Male","BROWN","Open Class",3,"Fabio M Incalado","Brazilian Top Team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,24
"Master 3","Male","BROWN","Open Class",4,"Wilfried Maurice Francois Louison","Renzo Gracie Academy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,54,54
"Master 3","Male","BROWN","Open Class",5,"Carlos Rinaldo Lazo Jr ","BJJ Revolution Team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,27
"Master 3","Male","BROWN","Open Class",6,"Steven Michael Robinson","CheckMat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Master 3","Male","BROWN","Open Class",7,"Nicholas Shawn Hancock","Alliance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Master 3","Male","BLACK","Open Class",1,"Fabio Leopoldo e Silva Neto","R1NG BJJ",111,111,"No","No","No","Yes",NA,NA,NA,NA,283,324,NA
"Master 3","Male","BLACK","Open Class",2,"Arthur Cesar Sampaio Jacintho","GF Team",127,529,"No","No","No","No",NA,NA,NA,NA,216,468,NA
"Master 3","Male","BLACK","Open Class",3,"Rogerio Yoski Suto","Impacto BJJ",364,415,"No","No","No","No",NA,NA,NA,NA,126,139,NA
"Master 3","Male","BLACK","Open Class",4,"Adriano Ferreira de Araujo e Silva","Barbosa Jiu-Jitsu",255,228,"No","No","No","No",NA,NA,NA,NA,49,49,NA
"Master 3","Male","BLACK","Open Class",5,"Leonardo Delgado de Oliveira","Double Five",12,192,"No","No","No","No",NA,NA,NA,NA,12,154,NA
"Master 3","Male","BLACK","Open Class",6,"Leandro Lopes Escobar","Double Five",115,181,"No","No","No","No",NA,NA,NA,NA,0,3,NA
"Master 3","Male","BLACK","Open Class",7,"Percio Gonçalves","G13 BJJ",108,297,"No","No","No","No",NA,NA,NA,NA,0,58,NA
"Master 3","Male","BLACK","Open Class",8,"Tiago Pereira Almeida","Six Blades Jiu-Jitsu",84,57,"No","No","No","No",NA,NA,NA,NA,0,13,NA
"Master 3","Male","BLACK","Open Class",9,"Leonardo Souza Melo","Nova União",69,237,"No","No","No","No",NA,NA,NA,NA,0,0,NA
"Master 3","Male","BLACK","Open Class",10,"Thomas Anthony McMahon","Alliance",0,36,"No","No","No","No",NA,NA,NA,NA,0,45,NA
"Master 3","Male","BLACK","Open Class",11,"Gustavo Ramos Campos","Atos Jiu-Jitsu",0,27,"No","No","No","No",NA,NA,NA,NA,0,40,NA
"Master 4","Male","BLUE","Open Class",1,"Bryant Shane Kimble","The Farm Brazilian Jiu-Jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,162,108
"Master 4","Male","BLUE","Open Class",2,"Sanford Baird Bailey","Crazy 88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,99,87
"Master 4","Male","BLUE","Open Class",3,"Tony Santo Russo","Nova União",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,70,53
"Master 4","Male","BLUE","Open Class",4,"Raymond Herrera","Cassio Werneck BJJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Master 4","Male","PURPLE","Open Class",1,"Anthony David Kell","LAJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,724,357
"Master 4","Male","PURPLE","Open Class",2,"Michael Prince Robertson","Alliance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,207,269
"Master 4","Male","PURPLE","Open Class",3,"Renan Wiltshire Lisboa Salles","CheckMat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,180,246
"Master 4","Male","PURPLE","Open Class",4,"Gabriel Kaimana Cera","Brasa CTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,162,280
"Master 4","Male","PURPLE","Open Class",5,"Peter A Baluca","Australian Elite Team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,27,18
